                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6046,                 3.8837,                 3.8475,                 1.3009,                0.03227,                0.16303,                0.02724,                0.01027,                0.02829,                0.14252,                 0.0248,                0.00851,                 2.7459,                 4.7175,                 3.1584,                 1.4617,               0.067098,             0.00033234,             0.00033234
                      2,                 2.8327,                 3.9828,                 3.3431,                 1.3899,                0.02828,                0.15535,                0.01846,                0.00691,                0.02812,                0.10998,                0.01736,                0.00594,                 2.8101,                 3.9257,                 6.9106,                 1.5735,               0.034054,             0.00062174,             0.00062174
                      3,                 2.7488,                 3.9574,                 3.2382,                 1.3581,                 0.0424,                0.17086,                0.05452,                0.02064,                0.03996,                0.16033,                0.05028,                0.01619,                   2.84,                 3.8461,                   3.45,                 1.4787,             0.00096635,             0.00086714,             0.00086714
                      4,                 2.7224,                 3.9999,                 3.1012,                 1.3347,                0.36894,                0.09901,                0.07716,                0.02978,                0.36622,                0.09154,                0.07306,                0.02274,                 2.7187,                 3.7654,                 2.6131,                 1.4736,               0.000802,               0.000802,               0.000802
                      5,                 2.7545,                 3.8953,                 3.0207,                 1.3503,                0.11632,                0.10884,                 0.0729,                0.02583,                0.12668,                0.11351,                0.07839,                0.02707,                 2.6972,                 3.7594,                 3.0685,                 1.4551,               0.000736,               0.000736,               0.000736
                      6,                 2.6974,                 3.8752,                 2.9082,                 1.3334,                0.08948,                 0.1863,                0.08981,                0.03346,                0.11852,                 0.1351,                0.08432,                0.02793,                  2.661,                 3.7364,                  2.686,                   1.42,                0.00067,                0.00067,                0.00067
                      7,                 2.6534,                 3.7529,                 2.8692,                 1.2844,                0.06708,                0.11735,                 0.0397,                0.01487,                0.06776,                0.11497,                0.03981,                0.01317,                 2.7199,                 3.7376,                    inf,                 1.4991,               0.000604,               0.000604,               0.000604
                      8,                 2.6458,                 3.7336,                 2.6885,                  1.303,                0.13629,                0.14775,                0.08744,                0.03342,                0.12188,                0.13574,                0.07931,                0.02543,                 2.6347,                 3.6151,                 2.3936,                 1.4285,               0.000538,               0.000538,               0.000538
                      9,                 2.5821,                 3.6022,                 2.5589,                 1.2745,                  0.153,                0.12964,                0.09051,                0.03369,                0.14893,                0.12974,                0.09019,                0.03187,                 2.6244,                 3.5537,                 2.4304,                 1.4337,               0.000472,               0.000472,               0.000472
                     10,                 2.5438,                 3.5615,                 2.5474,                 1.2769,                 0.1531,                0.12624,                0.09732,                0.03648,                0.14762,                0.12194,                0.09459,                0.03359,                 2.5982,                 3.5281,                 2.4719,                 1.4033,               0.000406,               0.000406,               0.000406
                     11,                 2.5428,                 3.5437,                 2.5535,                 1.2849,                0.17503,                0.15685,                0.10282,                0.03924,                0.16577,                0.13949,                0.09465,                0.03244,                 2.5811,                 3.5001,                 2.2868,                    1.4,                0.00034,                0.00034,                0.00034
                     12,                 2.5457,                 3.5509,                 2.4373,                 1.2449,                0.15884,                0.15611,                0.11199,                   0.04,                0.15285,                0.14382,                0.10478,                 0.0376,                 2.5868,                 3.4824,                 2.2791,                 1.4156,               0.000274,               0.000274,               0.000274
                     13,                 2.5626,                 3.6187,                 2.4137,                 1.2589,                0.15562,                   0.14,                0.09767,                0.03868,                0.15501,                0.13378,                0.09233,                0.03102,                 2.5285,                  3.477,                 2.3979,                 1.3701,               0.000208,               0.000208,               0.000208
                     14,                 2.4931,                 3.6229,                 2.3281,                 1.2624,                0.13975,                0.14742,                0.10358,                0.04084,                0.13351,                0.14249,                0.09666,                0.03463,                 2.5112,                 3.4745,                 2.2819,                 1.3716,               0.000142,               0.000142,               0.000142
                     15,                 2.5074,                 3.5674,                 2.3457,                 1.2625,                0.14935,                0.15255,                0.10557,                0.04119,                0.13842,                0.14895,                0.09754,                0.03536,                 2.4794,                 3.4371,                 2.3123,                 1.3507,                7.6e-05,                7.6e-05,                7.6e-05
