                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2948,                  4.498,                 4.1658,                 1.6276,                0.01134,                0.01748,                0.00525,                0.00169,                0.00471,                0.01439,                0.00254,                0.00077,                    nan,                    nan,                    nan,                    nan,               0.070089,              0.0033234,              0.0033234
                      2,                 3.2863,                 4.3229,                 3.7488,                 1.5963,                0.03604,                0.01059,                0.00477,                0.00157,                0.05252,                 0.0134,                0.00585,                0.00176,                    nan,                    nan,                    nan,                    nan,                0.03965,              0.0062174,              0.0062174
                      3,                 3.1854,                  4.348,                 3.5884,                  1.553,                 0.0024,                0.01327,                0.00122,                0.00033,                0.00171,                0.00988,                0.00086,                0.00028,                   4.08,                 5.9235,                    inf,                 2.8117,              0.0087706,              0.0086714,              0.0086714
                      4,                 3.2172,                 4.2373,                 3.5001,                 1.5953,                 0.0201,                0.08756,                0.01373,                0.00442,                0.01814,                0.08027,                0.01272,                0.00393,                    nan,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                      5,                 3.2027,                 4.2442,                 3.4257,                 1.5363,                0.03435,                0.14409,                0.03984,                0.01202,                0.02743,                 0.1356,                0.03664,                0.01213,                 3.1954,                 4.0923,                 3.3629,                 1.6414,                0.00736,                0.00736,                0.00736
                      6,                 3.0677,                  4.202,                 3.6399,                 1.4631,                0.05107,                0.08157,                0.02818,                0.00865,                0.05525,                0.07737,                0.02962,                0.00987,                 3.2099,                 4.3507,                 3.3556,                 1.6762,                 0.0067,                 0.0067,                 0.0067
                      7,                 3.0503,                 4.1721,                 3.4456,                 1.4064,                0.02941,                 0.1599,                0.03291,                0.01018,                0.02816,                0.15307,                0.03228,                0.01143,                 3.1351,                 4.2915,                 3.3345,                 1.6517,                0.00604,                0.00604,                0.00604
                      8,                 3.0518,                 4.1415,                    3.4,                 1.4125,                0.02675,                0.08489,                0.03071,                0.01007,                0.02451,                0.07977,                0.02831,                0.00918,                 3.1359,                 50.262,                 3.3697,                 1.9341,                0.00538,                0.00538,                0.00538
                      9,                 2.9797,                 3.9751,                 3.2798,                 1.4009,                0.03489,                0.15971,                0.03399,                0.01014,                0.05323,                0.10545,                0.03414,                0.00995,                 3.1961,                 4.1087,                 3.1301,                 1.6505,                0.00472,                0.00472,                0.00472
                     10,                 2.9828,                 3.9901,                 3.2655,                 1.4083,                0.03737,                0.10472,                0.02948,                0.00953,                0.05778,                0.09158,                0.03294,                0.01087,                 3.4099,                 7.7244,                 3.4691,                 2.1863,                0.00406,                0.00406,                0.00406
                     11,                 2.9523,                 3.9539,                  3.299,                 1.4081,                0.03191,                0.19078,                0.04428,                0.01503,                0.02778,                0.16596,                0.04081,                 0.0136,                 3.1029,                 4.0162,                 3.0297,                 1.6078,                 0.0034,                 0.0034,                 0.0034
                     12,                 2.8811,                 3.9845,                 3.1811,                 1.3328,                0.03725,                 0.1894,                0.04824,                0.01615,                0.03677,                 0.1804,                0.04989,                0.01662,                 3.1211,                 4.0452,                 3.3312,                 1.7484,                0.00274,                0.00274,                0.00274
                     13,                 2.9171,                 4.0814,                 3.1795,                 1.3685,                0.04416,                0.13771,                0.04458,                0.01513,                0.05488,                0.10964,                0.04514,                0.01465,                 3.0357,                 4.0115,                  3.317,                 1.6256,                0.00208,                0.00208,                0.00208
                     14,                 2.8805,                 4.0298,                 3.0782,                 1.3745,                0.03701,                0.18302,                0.04316,                0.01508,                 0.0342,                0.16419,                 0.0434,                0.01441,                 3.0421,                   4.12,                 3.2385,                 1.6305,                0.00142,                0.00142,                0.00142
                     15,                  2.862,                 4.0003,                 3.1039,                 1.3747,                0.03775,                0.19877,                0.04898,                0.01648,                0.03575,                0.18613,                0.04842,                0.01694,                 2.9939,                 3.9276,                 3.0809,                 1.5457,                0.00076,                0.00076,                0.00076
