                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.634,                  3.873,                 3.6251,                 1.3861,                0.04054,                0.16951,                0.02856,                0.01084,                 0.0325,                0.14081,                0.02251,                0.00734,                 2.6149,                 4.1647,                 11.601,                 1.3928,               0.067098,             0.00033234,             0.00033234
                      2,                  2.619,                 3.8222,                 3.1333,                 1.3832,                0.33442,                 0.1082,                0.07636,                0.02739,                0.32557,                0.09784,                0.06591,                0.02053,                  2.705,                 4.0563,                 3.1456,                 1.4594,               0.034054,             0.00062174,             0.00062174
                      3,                 2.7347,                 3.8487,                 3.1547,                 1.4073,                0.08635,                0.11675,                 0.0745,                0.02589,                0.10673,                 0.1009,                0.06853,                0.02053,                 2.6296,                 3.7551,                 2.5497,                 1.4373,             0.00096635,             0.00086714,             0.00086714
                      4,                 2.6655,                  3.807,                 2.9035,                 1.4176,                0.35758,                0.09142,                0.08007,                0.02987,                0.36842,                0.09355,                0.07882,                0.02478,                 2.6846,                 3.6907,                  2.488,                 1.4883,               0.000802,               0.000802,               0.000802
                      5,                 2.6659,                 3.8065,                 2.8068,                 1.3652,                0.37416,                0.15472,                0.10113,                0.03713,                0.36949,                0.14521,                0.09436,                0.03361,                 2.5734,                 3.6675,                 2.3596,                 1.4083,               0.000736,               0.000736,               0.000736
                      6,                 2.6414,                 3.7643,                  2.987,                 1.3175,                  0.111,                0.12603,                0.08747,                0.03426,                0.11331,                0.12063,                0.08811,                0.03114,                 2.5587,                 3.5524,                 2.3938,                  1.409,                0.00067,                0.00067,                0.00067
                      7,                 2.5875,                 3.6729,                 2.7497,                 1.2887,                0.12885,                0.13343,                0.08647,                0.03307,                0.12824,                0.13195,                0.08698,                0.02975,                  2.588,                 3.5141,                 2.4804,                 1.4348,               0.000604,               0.000604,               0.000604
                      8,                 2.5838,                 3.6476,                 2.6313,                 1.2929,                0.13013,                0.12055,                0.09177,                0.03514,                0.13387,                0.11602,                0.08907,                0.03266,                 2.5933,                 3.5137,                 2.5636,                 1.4054,               0.000538,               0.000538,               0.000538
                      9,                 2.5289,                 3.5388,                 2.5036,                 1.2589,                0.17296,                0.15224,                0.10406,                0.04051,                0.16626,                 0.1491,                 0.0998,                0.03675,                 2.5476,                 3.4969,                 2.3248,                 1.4175,               0.000472,               0.000472,               0.000472
                     10,                 2.5638,                 3.5453,                 2.4943,                  1.277,                0.17474,                0.12674,                0.10668,                0.03909,                0.17833,                0.12447,                0.10564,                0.03677,                 2.5467,                 3.5029,                 2.3518,                    1.4,               0.000406,               0.000406,               0.000406
                     11,                 2.5594,                 3.5172,                 2.4929,                 1.2835,                0.14754,                0.13741,                0.09944,                0.03954,                0.13584,                0.12881,                0.09056,                0.03377,                 2.5285,                 3.5335,                 2.4226,                 1.3822,                0.00034,                0.00034,                0.00034
                     12,                 2.4824,                 3.5181,                 2.3405,                   1.23,                0.14973,                0.15735,                0.11134,                0.04208,                0.14443,                0.14913,                0.10257,                0.03753,                 2.4972,                 3.4305,                 2.2483,                 1.3958,               0.000274,               0.000274,               0.000274
                     13,                 2.5154,                  3.599,                 2.3323,                 1.2626,                0.15008,                0.16778,                0.11161,                0.04432,                0.14095,                0.16324,                0.10481,                0.03666,                 2.4831,                 3.4091,                 2.3421,                   1.37,               0.000208,               0.000208,               0.000208
                     14,                 2.4311,                 3.5548,                 2.2864,                 1.2439,                0.14619,                0.15816,                0.11593,                0.04593,                0.13372,                0.15146,                0.10711,                0.04045,                 2.4838,                 3.4211,                 2.2726,                 1.3661,               0.000142,               0.000142,               0.000142
                     15,                 2.4496,                 3.4792,                 2.2576,                 1.2557,                0.16711,                0.14639,                0.11508,                0.04651,                 0.1475,                0.14792,                0.10566,                0.03946,                 2.4395,                 3.3677,                 2.3122,                 1.3496,                7.6e-05,                7.6e-05,                7.6e-05
