                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0004,                 29.556,                 9.2232,                 2.2527,                0.00015,                  0.004,                  8e-05,                  1e-05,                      0,                      0,                      0,                      0,                 4.1119,                 4.8095,                 35.057,                 3.6384,               0.067098,             0.00033234,             0.00033234
                      2,                 4.1833,                 4.7964,                 4.3995,                 1.8621,                  4e-05,                0.00139,                  2e-05,                      0,                      0,                      0,                      0,                      0,                 4.4606,                 4.8231,                 11.357,                  2.736,               0.034054,             0.00062174,             0.00062174
                      3,                   4.14,                   4.79,                 4.3693,                 1.6176,                0.25141,                0.00699,                0.00051,                0.00013,                0.25007,                0.00068,                  3e-05,                      0,                 4.2996,                 4.8251,                 27.342,                 1.8132,             0.00096635,             0.00086714,             0.00086714
                      4,                 4.1278,                 4.8305,                 4.4912,                  1.624,                0.01038,                0.03533,                0.00552,                0.00091,                0.00514,                0.01906,                0.00265,                0.00031,                 4.1155,                  4.777,                   6.85,                 1.7796,               0.000802,               0.000802,               0.000802
                      5,                 4.0688,                 4.9022,                  76.31,                 1.7853,                0.00209,                0.02256,                0.00147,                0.00038,                 0.0014,                0.01512,                  0.001,                0.00022,                 4.1574,                 4.9405,                 388.71,                 2.0651,               0.000736,               0.000736,               0.000736
                      6,                 3.9471,                 4.8693,                   1435,                 1.7509,                0.00045,                0.00519,                0.00023,                  6e-05,                0.00019,                0.00226,                 0.0001,                  2e-05,                  4.156,                 5.0721,                 278.15,                 2.0473,                0.00067,                0.00067,                0.00067
                      7,                  3.894,                 5.0555,                 309.15,                 1.7401,                0.00015,                0.00208,                  7e-05,                  2e-05,                      0,                      0,                      0,                      0,                 4.1595,                 5.2254,                  4.952,                 2.1021,               0.000604,               0.000604,               0.000604
                      8,                 3.8605,                 4.9024,                 4.6142,                 1.6653,                 0.0041,                0.00722,                0.00216,                0.00065,                  0.005,                 0.0088,                 0.0028,                0.00059,                 4.2178,                  45.53,                 4.9962,                 2.1298,               0.000538,               0.000538,               0.000538
                      9,                 3.7864,                 4.7173,                 4.0415,                 1.5454,                0.01305,                0.02871,                 0.0072,                0.00176,                0.00593,                0.02754,                0.00355,                0.00056,                 4.1658,                 10.335,                 3.7215,                   1.85,               0.000472,               0.000472,               0.000472
                     10,                 3.8678,                 4.7361,                 3.9055,                 1.5702,                0.00213,                0.01899,                0.00113,                 0.0003,                0.00132,                0.00667,                0.00068,                0.00015,                 4.1098,                 4.7855,                 4.0835,                 1.7638,               0.000406,               0.000406,               0.000406
                     11,                 3.8003,                 4.6819,                 3.8958,                 1.5956,                0.00157,                0.02101,                0.00086,                0.00024,                0.00036,                0.00415,                0.00019,                  5e-05,                 4.2056,                 4.7449,                 6.1707,                 1.6817,                0.00034,                0.00034,                0.00034
                     12,                 3.7431,                  4.694,                 3.7553,                 1.5292,                0.00063,                 0.0009,                0.00032,                0.00012,                      0,                      0,                      0,                      0,                 4.8805,                  5.009,                 5.6338,                 1.5654,               0.000274,               0.000274,               0.000274
                     13,                  3.806,                 4.8002,                 3.7619,                 1.5374,                0.00063,                 0.0009,                0.00032,                0.00012,                      0,                      0,                      0,                      0,                 3.9143,                 4.7884,                 5.0445,                 1.8292,               0.000208,               0.000208,               0.000208
                     14,                    nan,                    nan,                    nan,                    nan,                0.00063,                 0.0009,                0.00032,                0.00012,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000142,               0.000142,               0.000142
                     15,                    nan,                    nan,                    nan,                    nan,                0.00063,                 0.0009,                0.00032,                0.00012,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                7.6e-05,                7.6e-05,                7.6e-05
