                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1208,                 4.5289,                 5.5208,                 1.7175,                0.00924,                0.05022,                0.00534,                0.00208,                 0.0095,                0.04642,                0.00552,                0.00214,                 2.7184,                 4.2558,                 4.7087,                 1.5072,               0.067098,             0.00033234,             0.00033234
                      2,                 2.8102,                 4.1051,                 4.5758,                  1.569,                0.05837,                0.04625,                0.03262,                0.01142,                0.05416,                0.04355,                0.03102,                0.00937,                 2.5623,                 3.8853,                 3.7064,                 1.4029,               0.034054,             0.00062174,             0.00062174
                      3,                 2.6411,                 3.9467,                 3.9694,                 1.4429,                0.07524,                0.07817,                0.04593,                0.01634,                 0.0768,                0.07434,                0.04144,                0.01358,                 2.4742,                 3.5861,                 3.2066,                 1.3407,             0.00096635,             0.00086714,             0.00086714
                      4,                 2.5377,                 3.7429,                 3.4725,                 1.3856,                0.09203,                0.08509,                0.05908,                0.02274,                0.08548,                0.08081,                0.05427,                0.01905,                 2.4051,                  3.442,                 2.8423,                 1.3117,               0.000802,               0.000802,               0.000802
                      5,                 2.5238,                 3.7123,                 3.2273,                 1.3504,                0.10418,                 0.1269,                0.07992,                0.03132,                0.10301,                0.12263,                0.07728,                0.02764,                 2.3588,                 3.3888,                 2.5888,                 1.3077,               0.000736,               0.000736,               0.000736
                      6,                 2.4876,                 3.5936,                 4.0726,                 1.2649,                 0.1361,                 0.0992,                  0.084,                0.03414,                0.12919,                0.09447,                0.08061,                0.02894,                 2.3103,                 3.3054,                 2.6286,                 1.2689,                0.00067,                0.00067,                0.00067
                      7,                 2.4506,                 3.5186,                 3.8454,                 1.2346,                0.13363,                0.10749,                0.09146,                0.03768,                0.12955,                0.10423,                0.08733,                0.03147,                 2.2957,                 3.2653,                 2.4811,                 1.2681,               0.000604,               0.000604,               0.000604
                      8,                 2.4611,                  3.492,                 3.6757,                 1.2512,                0.12817,                 0.1349,                0.09252,                0.03863,                0.12219,                0.12824,                 0.0874,                0.03227,                 2.2608,                 3.2634,                  2.429,                 1.2526,               0.000538,               0.000538,               0.000538
                      9,                 2.3906,                 3.3764,                  3.486,                 1.2134,                0.13601,                0.14985,                0.09783,                0.04004,                0.12777,                0.13659,                0.09058,                0.03311,                 2.2568,                 3.2608,                 2.3572,                 1.2491,               0.000472,               0.000472,               0.000472
                     10,                 2.3791,                 3.3692,                 3.3162,                  1.221,                0.13398,                0.15176,                0.10219,                  0.041,                0.12529,                0.14028,                0.09507,                0.03495,                   2.24,                 3.2456,                 2.3053,                 1.2411,               0.000406,               0.000406,               0.000406
                     11,                  2.366,                 3.3662,                 3.2714,                 1.2171,                0.13239,                0.16408,                0.10626,                0.04273,                0.12576,                0.15268,                0.09925,                0.03614,                 2.2411,                 3.2449,                 2.2552,                 1.2443,                0.00034,                0.00034,                0.00034
                     12,                 2.3393,                 3.3641,                 3.1865,                 1.1803,                0.14399,                0.17815,                 0.1068,                0.04307,                0.14118,                0.16555,                0.09976,                 0.0368,                 2.2366,                   3.23,                 2.2341,                 1.2427,               0.000274,               0.000274,               0.000274
                     13,                 2.4064,                 3.4469,                 3.1861,                 1.2181,                0.13713,                0.15247,                0.10391,                0.04221,                0.13443,                0.14466,                0.09786,                0.03599,                 2.2504,                 3.2601,                 2.2979,                  1.249,               0.000208,               0.000208,               0.000208
                     14,                 2.3432,                 3.4255,                 3.0168,                 1.2081,                0.12768,                0.15975,                0.10354,                0.04266,                0.12842,                0.15393,                0.09789,                0.03641,                  2.227,                 3.2164,                  2.277,                  1.239,               0.000142,               0.000142,               0.000142
                     15,                 2.3977,                 3.3988,                 3.0618,                 1.2302,                0.13438,                0.15883,                0.10232,                0.04228,                0.13035,                0.15242,                0.09705,                0.03586,                 2.2494,                 3.2547,                 2.2854,                 1.2499,                7.6e-05,                7.6e-05,                7.6e-05
