                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7194,                 3.9852,                 3.5671,                 1.3976,                0.33231,                0.08375,                0.07488,                0.02681,                0.15129,                0.10081,                0.06672,                0.02125,                 2.7154,                 3.7555,                 2.7212,                 1.3996,               0.067098,             0.00033234,             0.00033234
                      2,                 2.6213,                 3.7937,                 3.2175,                 1.3736,                0.38371,                0.13707,                0.08669,                0.03223,                0.36394,                0.13674,                0.07989,                 0.0271,                 2.6984,                 3.7725,                 3.1089,                 1.5294,               0.034065,             0.00063272,             0.00063272
                      3,                 2.7046,                 3.8704,                 3.0897,                 1.3774,                0.13686,                0.15753,                0.09128,                0.03531,                 0.1473,                0.14365,                0.08769,                0.02998,                 2.6062,                 3.7624,                 2.5719,                 1.4219,             0.00099931,             0.00090011,             0.00090011
                      4,                 2.6697,                 3.8427,                 2.9774,                 1.4017,                 0.0836,                0.18357,                0.08128,                0.02938,                0.07287,                0.15019,                0.07579,                0.02413,                 2.6687,                 3.7051,                 2.7307,                 1.4368,              0.0008515,              0.0008515,              0.0008515
                      5,                 2.6604,                 3.8278,                  2.846,                   1.35,                0.35664,                0.16359,                0.09307,                0.03439,                0.34883,                 0.1494,                0.08767,                0.02987,                  2.555,                 3.6734,                 2.3592,                 1.4378,               0.000802,               0.000802,               0.000802
                      6,                 2.6041,                  3.788,                 2.7087,                 1.3469,                0.15639,                0.16723,                0.09904,                0.03874,                0.15338,                0.16179,                0.09678,                0.03355,                 2.5682,                 3.5062,                 2.3907,                  1.403,              0.0007525,              0.0007525,              0.0007525
                      7,                 2.6382,                 3.7374,                 2.7517,                  1.363,                0.12404,                0.12476,                 0.0865,                 0.0326,                 0.1218,                0.12093,                0.08129,                 0.0274,                 2.5345,                 3.5499,                 2.5355,                 1.3686,               0.000703,               0.000703,               0.000703
                      8,                 2.5914,                 3.6522,                 2.5648,                 1.3699,                0.15625,                0.17666,                0.12037,                0.04448,                 0.1522,                0.16464,                0.10831,                 0.0369,                 2.5538,                 3.4868,                 2.3175,                 1.4215,              0.0006535,              0.0006535,              0.0006535
                      9,                 2.5558,                 3.6371,                 2.5528,                 1.3596,                0.17285,                0.16295,                0.11786,                0.04465,                0.16222,                0.15317,                0.10486,                0.03449,                  2.537,                 3.5229,                 2.3424,                 1.4304,               0.000604,               0.000604,               0.000604
                     10,                 2.5362,                 3.6139,                 2.5578,                 1.3374,                0.11987,                0.15262,                0.12155,                0.04382,                0.11051,                0.14646,                0.11553,                0.03996,                 2.4904,                 3.4508,                 2.2562,                 1.3762,              0.0005545,              0.0005545,              0.0005545
                     11,                 2.5098,                 3.4964,                 2.6478,                 1.2456,                0.13482,                0.19007,                0.11965,                0.04577,                0.12937,                0.18117,                 0.1181,                0.04168,                  2.439,                 3.3776,                 2.3877,                 1.3797,               0.000505,               0.000505,               0.000505
                     12,                 2.5346,                 3.4959,                 2.4823,                 1.2416,                0.14998,                0.16666,                0.10965,                0.04241,                0.14785,                0.14589,                0.10115,                0.03341,                 2.5559,                 3.4137,                 2.2532,                 1.3706,              0.0004555,              0.0004555,              0.0004555
                     13,                 2.5025,                 3.4652,                   2.45,                 1.2554,                0.13218,                0.17919,                0.10591,                0.04257,                0.13063,                0.17565,                0.10583,                0.04006,                 2.4961,                 3.3993,                 2.6348,                 1.3788,               0.000406,               0.000406,               0.000406
                     14,                 2.3969,                  3.449,                 2.3704,                 1.2146,                0.14134,                 0.1768,                0.10866,                0.04288,                0.14465,                0.16224,                0.10173,                0.03606,                 2.4921,                  3.451,                 2.3359,                 1.3832,              0.0003565,              0.0003565,              0.0003565
                     15,                 2.4414,                 3.5176,                 2.3123,                 1.2389,                0.14389,                0.19092,                0.11203,                0.04551,                 0.1277,                0.18828,                0.10733,                0.03894,                 2.4484,                  3.389,                 2.2179,                 1.3621,               0.000307,               0.000307,               0.000307
                     16,                 2.3886,                 3.4786,                 2.2587,                 1.2106,                0.16239,                0.15308,                0.11249,                0.04659,                0.17538,                0.14758,                0.10871,                 0.0376,                 2.4334,                  3.384,                 2.3937,                  1.351,              0.0002575,              0.0002575,              0.0002575
