                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4921,                 3.6063,                 2.7826,                 1.3213,                0.23677,                0.16631,                0.10129,                0.03961,                0.23575,                0.15879,                0.09724,                0.03397,                 2.5509,                  3.556,                 2.2877,                  1.345,                0.06701,             0.00033323,             0.00033323
                      2,                 2.5302,                 3.5939,                 2.5009,                 1.3219,                0.64292,                0.11531,                0.10789,                0.04388,                0.64062,                0.10649,                 0.1006,                0.03547,                 2.4724,                 3.5458,                 2.3571,                 1.3327,               0.034003,             0.00065997,             0.00065997
                      3,                 2.5029,                 3.5629,                  2.426,                 1.3068,                0.17626,                0.16787,                0.11788,                0.04844,                0.17323,                0.16435,                 0.1147,                 0.0438,                 2.4716,                 3.4904,                 2.2727,                 1.3191,             0.00099002,              0.0009801,              0.0009801
                      4,                 2.4694,                 3.4906,                 2.3162,                 1.2939,                0.20031,                0.17608,                0.11345,                0.04664,                0.19424,                0.16828,                0.10683,                 0.0387,                 2.4825,                 3.5122,                 2.2598,                 1.3119,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.4274,                 3.4419,                 2.2519,                  1.288,                0.17749,                 0.2132,                0.12802,                0.05222,                0.17219,                0.20035,                0.11884,                  0.042,                 2.4335,                 3.4394,                 2.1736,                 1.2953,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.4183,                  3.428,                 2.2479,                 1.2757,                0.23888,                 0.2078,                0.13833,                0.05892,                0.23152,                0.19802,                0.13046,                0.04734,                 2.3777,                 3.3794,                 2.1134,                 1.2692,              0.0009505,              0.0009505,              0.0009505
                      7,                  2.369,                 3.3947,                 2.1911,                 1.2641,                0.20181,                0.17532,                0.12455,                0.05369,                0.19692,                0.16558,                0.11877,                0.04424,                 2.4153,                 3.3998,                 2.2134,                 1.2883,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.3754,                 3.3786,                 2.1655,                 1.2685,                0.21317,                0.19909,                0.13333,                0.05686,                0.20363,                0.18711,                0.12516,                0.04579,                  2.404,                 3.3947,                 2.1112,                 1.2772,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.3576,                 3.3533,                 2.1082,                 1.2615,                0.21431,                0.21217,                 0.1414,                0.06107,                0.20534,                0.20251,                0.13342,                0.04869,                 2.3793,                 3.3652,                 2.1558,                 1.2737,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.3435,                 3.3266,                  2.131,                 1.2563,                0.24722,                0.19679,                0.14278,                0.06067,                0.24166,                0.18977,                0.13702,                0.05222,                 2.3622,                 3.3095,                 2.0502,                 1.2652,              0.0009109,              0.0009109,              0.0009109
